code,Category,Name,"Long Description","Cost Per Unit",Quantity,"Unit of measure","Total Cost",RETAIL,WHOLESALE,REGULAR,"Vat Status",Availability
673410581,"Packaging &amp; Containers","Clearview Rectangular Box","Clearview Rectangular Box",0,,each,0,0,0,0,no,Available
649552423,"Packaging &amp; Containers","Clearview Spaghetti Box","Clearview Spaghetti Box",0,,each,0,0,0,0,no,Available
833469102,Wrappers,"Cling wrap 12x300","Cling wrap 12x300 ",310,0,each,0,350,0,0,yes,Available
387350810,Stocks,"Coffee Beans Arabica/Robusta 1kg","Coffee Beans Arabica/Robusta 1kg",700,2,piece,1400,850,0,0,yes,Available
68204471,"Paper Cups","Coffee House Paper Cups 6.5 oz (50pcsx20pcks)","Coffee House Paper Cups 6.5 oz (50pcsx20pcks)",24.5,3329,piece,81560.5,50,0,0,yes,Available
1020719498,"Cup Lids","Coffee Lid 8oz(100pcs)","Coffee Lid 8oz(100pcs)",56,12,each,672,80,0,0,yes,Available
428530610,"Packaging &amp; Containers","Coffee Stirrer (100pcs) 26cm","Coffee Stirrer (100pcs) 26cm",40,0,piece,0,60,0,0,yes,Available
681001813,Equipment,"Coffee Vending Machine","Coffee Vending Machine",0,0,each,0,0,0,0,yes,Available
1296855592,"Paper Cups","Coffee Vendo Paper Cups 6.5 oz (50pcsx40pcks)","Coffee Vendo Paper Cups 6.5 oz (50 pcs) ",29,5871,pack,170259,50,0,0,yes,Available
7730105021381,"Baking Supply","Conaprole - Uht Milk Full Cream Milk ","Conaprole - Uht Milk Full Cream Milk ",61.2,0,liter,0,72,0,0,yes,Available
67448333,Stocks,"Condiment by 4","Condiment by 4",580,2,piece,1160,1165,0,0,yes,Available
922394966,"Baking Supply","Cornstarch (1kg)","Cornstarch (1kg)",32.69192,0,each,0,50,0,0,yes,Available
67949106,"Baking Supply","Countess Flour 500g","Countess Flour 500g",12,0,pack,0,25,0,0,yes,Available
4800575370302,"Baking Supply","Cowbell Condensada (300ml)","Cowbell Condensada (300ml)",28.02979,0,each,0,35,0,0,yes,Available
20917784,Stocks,"Creamer Sachet 5g (100pcs)","Creamer Sachet 5g (100pcs)",103,5,piece,515,155,0,0,yes,Available
4710953890011,"Toppings &amp; Sinkers","Cristory Coffee Crystal Jelly (3.3kg/4jar)","Cristory Coffee Crystal Jelly (3.3kg/4jar)",550,3,piece,1650,690,0,0,yes,Available
1195719492,Spices/Herbs,"Cumin Seeds","Cumin Seeds",260,,each,0,315,0,0,yes,Available
799047483,"Baking Equipment","Cup Cake Boxes 6x9x3 (6 cupcakes)","Cup Cake Boxes 6x9x3 (6 cupcakes)",0,,each,0,0,0,0,yes,Available
1000636873,"Baking Supply","Cup Cake Boxes 9x12x3 (12 cupcakes)","Cup Cake Boxes 9x12x3 (12 cupcakes)",0,,each,0,0,0,0,no,Available
10939239,Stocks,"Cup holder by 3","Cup holder by 3",0,,piece,0,0,0,0,yes,Available
54062426,"Cup Lids","Cups Lid 12oz (50pcs)","Cups Lid 12oz (50pcs)",22.4417,-1,each,0,30,0,0,yes,Available
408560923,"Cup Lids","Cups Lid 16/22oz (100pcs)","Cups Lid 16/22oz (100pcs)",0,,each,0,0,0,0,no,Available
1235322429,"Cup Lids","Cups Lid 16/22oz (50pcs)","Cups Lid 16/22oz (50pcs)",23.697515,0,each,0,35,0,0,yes,Available
530100969,"Cup Lids","Cups Lid 22oz (100pcs)","Cups Lid 22oz (100pcs)",0,,each,0,0,0,0,no,Available
1066106230,"Cup Lids","Cups Lid 8oz (100pcs)","Cups Lid 8oz (100pcs)",0,,each,0,0,0,0,no,Available
199099144,Equipment,Cutter,Cutter,0,,each,0,0,0,0,no,Available
423663057,Equipment,"Cutter Blade","Cutter Blade",0,,each,0,0,0,0,no,Available
25809725,Stocks,"Da Vinci Butterscotch Sauce 2L","Da Vinci Butterscotch Sauce 2L",880,4,piece,3520,1000,0,0,yes,Available
140785910,"Coffee Sauces &amp; Syrups","Da Vinci Caramel Sauce (2Lx3)","Da Vinci Caramel Sauce (2Lx3)",879.47368421053,38,piece,33420,1000,0,0,yes,Available
23454576,"Coffee Sauces &amp; Syrups","Da Vinci Caramel Syrup (750mlx12)","Da Vinci Caramel Syrup (750mlx12)",460,13,piece,5980,530,0,0,yes,Available
60333421,"Coffee Sauces &amp; Syrups","Da Vinci Chocolate Sauce (2Lx3)","Da Vinci Chocolate Sauce (2Lx3)",832,3,piece,2496,1000,0,0,yes,Available
08924681,"Coffee Sauces &amp; Syrups","Da Vinci English Toffee Syrup (750mlx12)","Da Vinci English Toffee Syrup (750mlx12)",456.295625,7,piece,3194.069375,530,0,0,yes,Available
